Question,Ans1,Ans2,Ans3,Ans4,Correct ans,check_radio
Fill in the blank: The AWS service that provides a fully managed search service is called ________.,Amazon OpenSearch Service,,,,1,check
What is the function of AWS Data Pipeline?,To automate the movement and transformation of data.,,,,1,check
Which AWS service is used for managing application deployments?,AWS CodeDeploy,Amazon S3,Amazon EC2,AWS Lambda,1,radio
True or False: AWS provides a service for managing application dependencies called AWS CodeArtifact.,True,False,,,1,radio
What is the primary benefit of using Amazon Aurora?,To provide a high-performance relational database compatible with MySQL and PostgreSQL.,,,,1,check
Which AWS service is used for managing application configurations?,AWS Systems Manager,Amazon S3,Amazon EC2,AWS Lambda,1,radio
What is the purpose of AWS Service Catalog?,To create and manage catalogs of IT services.,,,,1,check
Which AWS service is used for managing application performance?,Amazon CloudWatch,AWS CloudTrail,Amazon S3,AWS Config,1,radio
Fill in the blank: The AWS service that provides a fully managed data warehouse is called ________.,Amazon Redshift,,,,1,check
What is the primary function of AWS Batch?,To run batch computing workloads on AWS.,,,,1,check
Which AWS service is used for managing application logs?,Amazon CloudWatch Logs,Amazon S3,AWS Lambda,Amazon RDS,1,radio
True or False: AWS provides a service for managing application performance called AWS X-Ray.,True,False,,,1,radio
What is the purpose of AWS AppSync?,To build data-driven applications with real-time updates.,,,,1,check
Which AWS service is used for managing and deploying serverless applications?,AWS Lambda,Amazon EC2,Amazon RDS,Amazon S3,1,radio
What is the primary benefit of using Amazon EFS?,To provide scalable file storage for use with Amazon EC2.,,,,1,check
Which AWS service is used for managing application secrets?,AWS Secrets Manager,Amazon S3,Amazon EC2,AWS Lambda,1,radio
Fill in the blank: The AWS service that provides a fully managed search service is called ________.,Amazon OpenSearch Service,,,,1,check
What is the function of AWS Data Pipeline?,To automate the movement and transformation of data.,,,,1,check
Which AWS service is used for managing application deployments?,AWS CodeDeploy,Amazon S3,Amazon EC2,AWS Lambda,1,radio
True or False: AWS provides a service for managing application dependencies called AWS CodeArtifact.,True,False,,,1,radio
What is the primary benefit of using Amazon Aurora?,To provide a high-performance relational database compatible with MySQL and PostgreSQL.,,,,1,check
Which AWS service is used for managing application configurations?,AWS Systems Manager,Amazon S3,Amazon EC2,AWS Lambda,1,radio
What is the purpose of AWS Service Catalog?,To create and manage catalogs of IT services.,,,,1,check
Which AWS service is used for managing application performance?,Amazon CloudWatch,AWS CloudTrail,Amazon S3,AWS Config,1,radio
Fill in the blank: The AWS service that provides a fully managed data warehouse is called ________.,Amazon Redshift,,,,1,check
What is the primary function of AWS Batch?,To run batch computing workloads on AWS.,,,,1,check
Which AWS service is used for managing application logs?,Amazon CloudWatch Logs,Amazon S3,AWS Lambda,Amazon RDS,1,radio
True or False: AWS provides a service for managing application performance called AWS X-Ray.,True,False,,,1,radio
What is the purpose of AWS AppSync?,To build data-driven applications with real-time updates.,,,,1,check
Which AWS service is used for managing and deploying serverless applications?,AWS Lambda,Amazon EC2,Amazon RDS,Amazon S3,1,radio
What is the primary purpose of AWS Organizations?,To manage multiple AWS accounts centrally.,,,,1,check
Which AWS service is used for creating and managing virtual private clouds?,Amazon VPC,Amazon EC2,Amazon S3,AWS Lambda,1,radio
True or False: AWS provides a service for managing application performance called AWS X-Ray.,True,False,,,1,radio
What is the function of AWS Elastic Load Balancing?,To distribute incoming application traffic across multiple targets.,,,,1,check
Which AWS service is used for managing user identities and permissions?,AWS IAM,Amazon S3,Amazon EC2,AWS Lambda,1,radio
Fill in the blank: The AWS service that provides a fully managed data lake is called ________.,AWS Lake Formation,,,,1,check
What is the primary benefit of using Amazon S3 for storage?,Scalability and durability for object storage.,,,,1,check
Which AWS service is used for automating the deployment of applications?,AWS CodeDeploy,Amazon S3,Amazon EC2,AWS Lambda,1,radio
True or False: AWS provides a service for managing application secrets called AWS Secrets Manager.,True,False,,,1,radio
What is the purpose of AWS CloudFormation?,To automate the deployment of AWS resources using templates.,,,,1,check
Which AWS service is used for real-time data processing?,Amazon Kinesis,Amazon S3,Amazon RDS,AWS Lambda,1,radio
What is the primary function of AWS CloudTrail?,To log and monitor account activity across your AWS infrastructure.,,,,1,check
Fill in the blank: The AWS service that provides a fully managed search service is called ________.,Amazon OpenSearch Service,,,,1,check
Which AWS service is used for managing application dependencies?,AWS CodeArtifact,Amazon S3,Amazon EC2,AWS Lambda,1,radio
True or False: AWS provides a service for data migration called AWS Database Migration Service.,True,False,,,1,radio
What is the primary benefit of using Amazon RDS?,To simplify database management tasks.,,,,1,check
Which AWS service is used for creating and managing APIs?,Amazon API Gateway,Amazon EC2,AWS Lambda,Amazon S3,1,radio
What is the function of AWS Systems Manager?,To manage and automate operational tasks across AWS resources.,,,,1,check
Fill in the blank: The AWS service that provides a fully managed message queuing service is called ________.,Amazon SQS,,,,1,check
What is the purpose of AWS CodePipeline?,To automate the software release process.,,,,1,check
Which AWS service is used for monitoring application performance?,Amazon CloudWatch,AWS CloudTrail,Amazon S3,AWS Config,1,radio
True or False: AWS provides a service for managing application configurations called AWS Systems Manager Parameter Store.,True,False,,,1,radio
What is the primary function of AWS Batch?,To run batch computing workloads on AWS.,,,,1,check
Which AWS service is used for managing application logs?,Amazon CloudWatch Logs,Amazon S3,AWS Lambda,Amazon RDS,1,radio
What is the purpose of AWS AppSync?,To build data-driven applications with real-time updates.,,,,1,check
Which AWS service is used for managing and deploying serverless applications?,AWS Lambda,Amazon EC2,Amazon RDS,Amazon S3,1,radio
What is the primary benefit of using Amazon EFS?,To provide scalable file storage for use with Amazon EC2.,,,,1,check
Which AWS service is used for managing application secrets?,AWS Secrets Manager,Amazon S3,Amazon EC2,AWS Lambda,1,radio
Fill in the blank: The AWS service that provides a fully managed data warehouse is called ________.,Amazon Redshift,,,,1,check
What is the primary function of AWS Glue?,To prepare and transform data for analytics.,,,,1,check
Which AWS service is used for managing application performance?,Amazon CloudWatch,AWS CloudTrail,Amazon S3,AWS Config,1,radio
True or False: AWS provides a service for managing application performance called AWS X-Ray.,True,False,,,1,radio
What is the purpose of AWS Service Catalog?,To create and manage catalogs of IT services.,,,,1,check
Which AWS service is used for managing user identities and permissions?,AWS IAM,Amazon S3,Amazon EC2,AWS Lambda,1,radio
What is the primary benefit of using Amazon S3 for storage?,Scalability and durability for object storage.,,,,1,check
Which AWS service is used for automating the deployment of applications?,AWS CodeDeploy,Amazon S3,Amazon EC2,AWS Lambda,1,radio
What is the function of AWS Elastic Load Balancing?,To distribute incoming application traffic across multiple targets.,,,,1,check
Fill in the blank: The AWS service that provides a fully managed data lake is called ________.,AWS Lake Formation,,,,1,check
What is the primary purpose of AWS Organizations?,To manage multiple AWS accounts centrally.,,,,1,check
Which AWS service is used for creating and managing virtual private clouds?,Amazon VPC,Amazon EC2,Amazon S3,AWS Lambda,1,radio
True or False: AWS provides a service for managing application performance called AWS X-Ray.,True,False,,,1,radio
What is the function of AWS Elastic Load Balancing?,To distribute incoming application traffic across multiple targets.,,,,1,check
Which AWS service is used for managing user identities and permissions?,AWS IAM,Amazon S3,Amazon EC2,AWS Lambda,1,radio
Fill in the blank: The AWS service that provides a fully managed data lake is called ________.,AWS Lake Formation,,,,1,check
What is the primary benefit of using Amazon S3 for storage?,Scalability and durability for object storage.,,,,1,check
Which AWS service is used for automating the deployment of applications?,AWS CodeDeploy,Amazon S3,Amazon EC2,AWS Lambda,1,Radio
True or False: AWS provides a service for managing application secrets called AWS Secrets Manager.,True,,,,1,Radio
What is the purpose of AWS CloudFormation?,To automate the deployment of AWS resources using templates,,,,1,Radio
Which AWS service is used for real-time data processing?,Amazon Kinesis,Amazon S3,Amazon RDS,AWS Lambda,1,Radio
What is the primary function of AWS CloudTrail?,To log and monitor account activity across your AWS infrastructure,,,,1,Radio
Fill in the blank: The AWS service that provides a fully managed search service is called ________.,Amazon OpenSearch Service,,,,1,Radio
Which AWS service is used for managing application dependencies?,AWS CodeArtifact,Amazon S3,Amazon EC2,AWS Lambda,1,Radio
True or False: AWS provides a service for data migration called AWS Database Migration Service.,True,,,,1,Radio
What is the primary benefit of using Amazon RDS?,To simplify database management tasks,,,,1,Radio
Which AWS service is used for creating and managing APIs?,Amazon API Gateway,Amazon EC2,AWS Lambda,Amazon S3,1,Radio

True or False: AWS provides a service for managing application configurations called AWS Systems Manager Parameter Store.,True,False,,,True,Radio
What is the primary function of AWS Batch?,To run batch computing workloads on AWS.,,,,To run batch computing workloads on AWS.,Radio
Which AWS service is used for managing application logs?,Amazon CloudWatch Logs,Amazon S3,AWS Lambda,Amazon RDS,Amazon CloudWatch Logs,Radio
What is the purpose of AWS AppSync?,To build data-driven applications with real-time updates.,,,,To build data-driven applications with real-time updates.,Radio
Which AWS service is used for managing and deploying serverless applications?,AWS Lambda,Amazon EC2,Amazon RDS,Amazon S3,AWS Lambda,Radio
What is the primary benefit of using Amazon EFS?,To provide scalable file storage for use with Amazon EC2.,,,,To provide scalable file storage for use with Amazon EC2.,Radio
Which AWS service is used for managing application secrets?,AWS Secrets Manager,Amazon S3,Amazon EC2,AWS Lambda,AWS Secrets Manager,Radio
Fill in the blank: The AWS service that provides a fully managed data warehouse is called ________.,Amazon Redshift,,,,Amazon Redshift,Radio
What is the primary function of AWS Glue?,To prepare and transform data for analytics.,,,,To prepare and transform data for analytics.,Radio
Which AWS service is used for managing application performance?,Amazon CloudWatch,AWS CloudTrail,Amazon S3,AWS Config,Amazon CloudWatch,Radio
